Jurisdictional Reference,Type,Description
"The West Bengal Hindu Marriage Registration Act, 1955,Section 3",Religious,"This section mandates the compulsory registration of Hindu marriages in West Bengal to ensure legal recognition and proper record maintenance. The registration process provides a formal legal acknowledgment of marriages, which is essential for various legal and administrative purposes, such as inheritance rights, spousal benefits, and legal proceedings. By formalizing the registration of marriages, the law aims to protect the rights of married individuals, provide a clear legal status, and reduce disputes related to marital status."
"The West Bengal Hindu Marriage Registration Act, 1955,Section 4",Religious,"In the state of West Bengal, this Act mandates the registration of Hindu marriages to ensure their legal recognition, maintaining accurate records to protect the rights of individuals and provide a legal framework for resolving marital issues."
"The Assam Freedom of Religion Act, 2020,Section 4",Religious,"In the state of Assam, this Act prohibits religious conversions obtained through force, coercion, or fraudulent means, ensuring freedom of religion and protecting individuals' rights."
"The Goa Hindu Code Act, 1966,Section 4",Religious,"In the state of Goa, this Act regulates Hindu family law, including marriage, divorce, adoption, and inheritance, ensuring uniformity and legal protection for individuals."
"The Jammu and Kashmir Hindu Succession Act, 1956, Section 3",Religious,"In the Union Territory of Jammu and Kashmir, this Act grants equal inheritance rights to Hindu women, promoting gender equality in succession matters."
"The Assam Moslem Marriages and Divorces Registration Act, 1935,Section 3",Religious,"This section mandates the compulsory registration of Muslim marriages and divorces in Assam. The primary objective is to ensure that all such matrimonial events are legally recognized and properly documented. This helps maintain a clear record of marital status, which is essential for legal proceedings, inheritance claims, and social security benefits. By formalizing the registration process, the law aims to protect the rights of individuals and provide a reliable legal framework for addressing disputes that may arise from marital issues."
"The Tamil Nadu Hindu Religious and Charitable Endowments Act, 1959,Section 4",Religious,"This section establishes a board to oversee the management and administration of Hindu religious and charitable endowments in Tamil Nadu. The board's responsibilities include ensuring that endowment properties are maintained, funds are properly allocated, and religious and charitable activities are effectively conducted. The law aims to create a structured and transparent system for managing religious assets, thereby enhancing their contribution to societal welfare. It addresses issues related to mismanagement and misappropriation of funds within religious institutions."
"The West Bengal Hindu Marriage Registration Act, 1955,Section 3",Religious,"This section mandates the compulsory registration of Hindu marriages in West Bengal to ensure legal recognition and proper record maintenance. The registration process provides a formal legal acknowledgment of marriages, which is essential for various legal and administrative purposes, such as inheritance rights, spousal benefits, and legal proceedings. By formalizing the registration of marriages, the law aims to protect the rights of married individuals, provide a clear legal status, and reduce disputes related to marital status."
"The Gujarat Hindu Religious and Charitable Endowments Act, 1969,Section 6",Religious,"This section grants the Commissioner extensive powers to regulate and manage Hindu religious and charitable endowments in Gujarat. The Commissioner's responsibilities include overseeing the financial management, administration, and utilization of endowment resources. The law aims to ensure that endowment funds are used effectively for religious, educational, and charitable activities. By providing a structured governance framework, the law seeks to enhance transparency, accountability, and efficiency in the management of religious assets."
"The Haryana Sikh Gurdwaras Act, 2014,Section 5",Religious,"This section establishes a committee to manage and oversee Sikh gurdwaras (temples) in Haryana. The committee is responsible for ensuring the proper administration, maintenance, and utilization of gurdwara properties and resources. The law aims to provide a structured governance framework for Sikh religious institutions, promoting transparency, accountability, and efficient management. By establishing clear guidelines for the administration of gurdwaras, the law seeks to preserve their sanctity and ensure they serve the religious and community needs effectively."
"The Uttarakhand Char Dham Devasthanam Management Act, 2019,Section 3",Religious,"This section establishes a board to manage the Char Dham temples in Uttarakhand, ensuring proper administration and management of these important Hindu pilgrimage sites. The board is entrusted with overseeing the functioning of the temples, managing their finances, and providing facilities for pilgrims. The law aims to preserve the sanctity of the Char Dham sites, enhance their infrastructure, and promote tourism while ensuring that the religious and spiritual needs of the pilgrims are met effectively."
"The Goa, Daman and Diu (Administration) Act, 1962,Section 6",Religious,"This section grants the Administrator of the union territories of Goa, Daman, and Diu the authority to manage religious institutions and their properties. This includes overseeing the administration, preservation, and proper utilization of these religious properties."
"The Manipur Hindu Religious Institutions and Endowments Act, 1977,Section 5",Religious,This section establishes a board responsible for managing Hindu religious institutions and endowments in the state of Manipur. The board ensures the proper administration and utilization of funds and properties associated with these institutions.
"The Meghalaya Hindu Marriage Registration Act, 1971,Section 3",Religious,This section mandates the compulsory registration of Hindu marriages in the state of Meghalaya. This ensures that marriages are legally recognized and properly recorded for legal and administrative purposes.
"The Meghalaya Hindu Marriage Registration Act, 1971,Section 4",Religious,"This section provides for the management and administration of Hindu religious institutions and endowments in the state of Meghalaya. It outlines the responsibilities of the governing bodies to ensure proper utilization and oversight of endowment assets. The law aims to promote transparency, accountability, and efficient management of religious endowments, ensuring they serve their intended religious and charitable purposes."
"The Rajasthan Public Trusts Act, 1959,Section 18",Religious,"This section mandates the registration of public trusts, including religious trusts, within the state of Rajasthan. The objective is to ensure transparency and accountability in the administration of these trusts. By requiring registration, the law facilitates better oversight, helping to prevent fraud and mismanagement, and ensuring that the trusts' resources are used effectively for their intended charitable or religious purposes."
"The Telangana Hindu Religious Institutions and Charitable Endowments Act, 1987,Section 4",Religious,"This section establishes a board in the state of Telangana to manage Hindu religious institutions and charitable endowments. The board's responsibilities include overseeing the administration of these institutions, ensuring proper utilization of their assets, and promoting transparency in their management. The law aims to safeguard the interests of religious and charitable endowments, ensuring they are managed efficiently and in line with their intended purposes."
"The Chhattisgarh Hindu Marriage Registration Act, 1955,Section 3",Religious,"This section mandates the compulsory registration of Hindu marriages in the state of Chhattisgarh. The law ensures that all Hindu marriages are legally recognized and documented, providing a reliable record for legal and administrative purposes. This requirement helps protect the rights of married couples and supports the maintenance of accurate demographic and legal records."
"The Maharashtra Hindu Places of Public Worship (Entry Authorization) Act, 1956,Section 3",Religious,"This section ensures that all Hindus in the state of Maharashtra have the right to enter and worship at Hindu temples, regardless of their caste or community. The law explicitly prohibits any form of discrimination that would bar individuals from accessing places of worship. This provision aims to uphold the principles of equality and social justice, promoting inclusivity within religious practices."
"The Manipur Hindu Religious Institutions and Charitable Endowments Act, 1978,Section 4",Religious,"This section provides for the management and administration of Hindu religious institutions and endowments in the state of Manipur. It outlines the responsibilities of the governing bodies to ensure proper utilization and oversight of endowment assets. The law aims to promote transparency, accountability, and efficient management of religious endowments, ensuring they serve their intended religious and charitable purposes."
"The Nagaland Hindu Religious Institutions and Charitable Endowments Act, 1982,Section 4",Religious,"This section provides for the management and administration of Hindu religious institutions and endowments in the state of Nagaland. It outlines the responsibilities of the governing bodies to ensure proper utilization and oversight of endowment assets. The law aims to promote transparency, accountability, and efficient management of religious endowments, ensuring they serve their intended religious and charitable purposes."
"The Tripura Hindu Religious Institutions and Charitable Endowments Act, 1985,Section 4",Religious,"This section provides for the management and administration of Hindu religious institutions and endowments in the state of Tripura. It outlines the responsibilities of the governing bodies to ensure proper utilization and oversight of endowment assets. The law aims to promote transparency, accountability, and efficient management of religious endowments, ensuring they serve their intended religious and charitable purposes."
"The Mizoram Hindu Religious Institutions and Charitable Endowments Act, 1988,Section 4",Religious,"This section provides for the management and administration of Hindu religious institutions and endowments in the state of Mizoram. It outlines the responsibilities of the governing bodies to ensure proper utilization and oversight of endowment assets. The law aims to promote transparency, accountability, and efficient management of religious endowments, ensuring they serve their intended religious and charitable purposes."
"The Sikkim Hindu Religious Institutions and Charitable Endowments Act, 1990,Section 4",Religious,"This section provides for the management and administration of Hindu religious institutions and endowments in the state of Sikkim. It outlines the responsibilities of the governing bodies to ensure proper utilization and oversight of endowment assets. The law aims to promote transparency, accountability, and efficient management of religious endowments, ensuring they serve their intended religious and charitable purposes."
"The Arunachal Pradesh Hindu Religious Institutions and Charitable Endowments Act, 1995,Section 4",Religious,"This section provides for the management and administration of Hindu religious institutions and endowments in the state of Arunachal Pradesh. It outlines the responsibilities of the governing bodies to ensure proper utilization and oversight of endowment assets. The law aims to promote transparency, accountability, and efficient management of religious endowments, ensuring they serve their intended religious and charitable purposes"
"The Assam Hindu Religious Institutions and Charitable Endowments Act, 1998,Section 4",Religious,"This section provides for the management and administration of Hindu religious institutions and endowments in the state of Assam. It outlines the responsibilities of the governing bodies to ensure proper utilization and oversight of endowment assets. The law aims to promote transparency, accountability, and efficient management of religious endowments, ensuring they serve their intended religious and charitable purposes."
"The Jammu and Kashmir Hindu Religious Endowments Act, 1977,Section 4",Religious,"This section provides for the management and administration of Hindu religious institutions and endowments in the state of Jammu and Kashmir. It outlines the responsibilities of the governing bodies to ensure proper utilization and oversight of endowment assets. The law aims to promote transparency, accountability, and efficient management of religious endowments, ensuring they serve their intended religious and charitable purposes."
"The Arunachal Pradesh Freedom of Religion Act, 2018,Section 4",Religious,"This section prohibits religious conversions obtained through force, allurement, or fraudulent means in Arunachal Pradesh. It aims to safeguard individuals' freedom to choose their religion without coercion or deceit."
"The Bihar Hindu Succession (Amendment) Act, 2005,Section 3",Religious,This section amends the Hindu Succession Act to grant equal inheritance rights to Hindu women in Bihar. It promotes gender equality by ensuring that women have the same rights to inherit property as men.
"The Chhattisgarh Religious Freedom Act, 2006,Section 4",Religious,"Similar to Arunachal Pradesh's law, this section prohibits religious conversions obtained through force, allurement, or fraudulent means in Chhattisgarh, protecting individuals' freedom of religious choice."
"The Delhi Anand Marriage Act, 1909,Section 5",Religious,"This section provides for the registration of Anand marriages (Sikh marriages) in Delhi to ensure legal recognition and proper record maintenance, validating Sikh marital traditions."
"The Goa Succession, Special Notaries, and Inventory Proceeding Act, 2012,Section 4",Religious,"This section specifies the order of succession for Hindus in Goa, ensuring equal inheritance rights. It aims to maintain a fair and just system of property inheritance among Hindus in Goa."
"The Gujarat Hindu Pilgrimage Places Protection Act, 2003,Section 6",Religious,This section provides for the protection and preservation of Hindu pilgrimage places in Gujarat. It ensures that these sites are safeguarded and maintained for religious and cultural purposes.
"The Haryana Anand Marriage Act, 2014,Section 4",Religious,"This section mandates the registration of Anand marriages (Sikh marriages) in Haryana for legal recognition and record-keeping, ensuring that Sikh marriages are acknowledged by the state."
"The Himachal Pradesh Anand Marriage Act, 2014,Section 4",Religious,"This section mandates the registration of Anand marriages (Sikh marriages) in Himachal Pradesh for legal recognition and record-keeping, providing legal validation to Sikh marital customs."
"The Jharkhand Hindu Religious Endowments Act, 1951,Section 3",Religious,"This section provides for the management and administration of Hindu religious endowments in Jharkhand, ensuring that these endowments are properly utilized and administered for religious and charitable purposes."
"The Karnataka Hindu Religious and Charitable Endowments (Amendment) Act, 2002,Section 6",Religious,"This section establishes additional boards to manage Hindu religious institutions and charitable endowments in Karnataka, aiming to improve oversight and administration."
"The Kerala Hindu Marriage Registration Act, 1956,Section 3",Religious,"This section mandates the registration of Hindu marriages in Kerala for legal recognition and record-keeping, ensuring that marriages are legally valid and properly documented."
"The Madhya Pradesh Anand Marriage Act, 2018,Secion 4",Religious,"This section mandates the registration of Anand marriages (Sikh marriages) in Madhya Pradesh for legal recognition and record-keeping, ensuring that Sikh marriages are acknowledged by the state."
"The Maharashtra Anand Marriage Act, 2018,Section 4",Religious,"This section mandates the registration of Anand marriages (Sikh marriages) in Maharashtra for legal recognition and record-keeping, ensuring that Sikh marriages are legally recognized."
"The Odisha Religious Institutions (Prevention of Misuse) Act, 1988,Section 4",Religious,"This section prohibits the misuse of religious institutions and their properties in Odisha for purposes other than those for which they were established, ensuring that these institutions remain dedicated to their religious and charitable missions."
"The Punjab Anand Marriage Act, 2018,Section 4",Religious,"This section mandates the registration of Anand marriages (Sikh marriages) in Punjab for legal recognition and record-keeping, providing legal validation to Sikh marital traditions."
"The Rajasthan Hindu Religious Endowments Act, 1959,Section 3",Religious,"This section provides for the management and administration of Hindu religious endowments in Rajasthan, ensuring that these endowments are properly utilized and administered for religious and charitable purposes."
"The Tamil Nadu Anand Marriage Act, 2018,Section 4",Religious,"This section mandates the registration of Anand marriages (Sikh marriages) in Tamil Nadu for legal recognition and record-keeping, ensuring that Sikh marriages are legally recognized."
"The Telangana Anand Marriage Act, 2018,Section 4",Religious,"This section mandates the registration of Anand marriages (Sikh marriages) in Telangana for legal recognition and record-keeping, ensuring that Sikh marriages are acknowledged by the state."
"The Uttarakhand Anand Marriage Act, 2018,Section 4",Religious,"This section mandates the registration of Anand marriages (Sikh marriages) in Uttarakhand for legal recognition and record-keeping, ensuring that Sikh marriages are legally recognized."
"The West Bengal Anand Marriage Act, 2018,Section 4",Religious,"This section mandates the registration of Anand marriages (Sikh marriages) in West Bengal for legal recognition and record-keeping, ensuring that Sikh marriages are acknowledged by the state."
"The Mizoram Freedom of Religion Act, 2002,Section 4",Religious,"This section prohibits religious conversions obtained through force, allurement, or fraudulent means in Mizoram, protecting individuals' freedom of religious choice."
"The Sikkim Freedom of Religion Act, 2003,Section 4",Religious,"This section prohibits religious conversions obtained through force, allurement, or fraudulent means in Sikkim, safeguarding individuals' freedom to choose their religion without coercion."
"The Tripura Freedom of Religion Act, 2004,Section 4",Religious,"This section prohibits religious conversions obtained through force, allurement, or fraudulent means in Tripura, ensuring individuals' freedom of religious choice."
"The Lakshadweep Hindu Women's Right to Property Act, 1946,Section 4",Religious,"This section grants Hindu women in Lakshadweep specific rights to inherit property, ensuring gender equality in succession and inheritance matters."
"The Dadra and Nagar Haveli and Daman and Diu Hindu Religious Institutions and Charitable Endowments Act, 1987,Section 5",Religious,"This section establishes a board to manage Hindu religious institutions and charitable endowments in Dadra and Nagar Haveli and Daman and Diu, ensuring proper administration and utilization of resources."
"The Puducherry Hindu Religious Institutions and Charitable Endowments (Amendment) Act, 1986,Section 4",Religious,"This section enhances the powers of the Board to oversee and manage Hindu religious institutions and charitable endowments in Puducherry, ensuring proper utilization and administration."
"The Andaman and Nicobar Islands Freedom of Religion Act, 1987,Section 4",Religious,"This section prohibits religious conversions obtained through force, allurement, or fraudulent means in the Andaman and Nicobar Islands, protecting individuals' freedom of religious choice."
"The Chandigarh Hindu Religious Institutions and Charitable Endowments Act, 1987,Section 5",Religious,"This section establishes a board to manage Hindu religious institutions and charitable endowments in Chandigarh, ensuring proper administration and utilization of resources."
"The Jammu and Kashmir Hindu Religious Institutions and Endowments Act, 1987,Section 4",Religious,"This section provides for the management and administration of Hindu religious institutions and endowments in Jammu and Kashmir, ensuring that these endowments are properly utilized and administered for religious and charitable purposes."
"The Assam Temple Entry Authorization Act, 1947,Section 3",Religious,"This section grants all Hindus the right to enter and worship in temples in Assam, irrespective of their caste. The law was enacted to eliminate caste-based discrimination in temple entry and to promote social equality."
"The Meghalaya Prevention of Witch-Hunting Act, 2015,Section 4",Religious,"This section prohibits witch-hunting practices in Meghalaya, which includes accusing, torturing, or abusing individuals believed to be practicing witchcraft. The law aims to protect vulnerable individuals, especially women, from violence and discrimination based on superstitions."
"The Nagaland Baptist Church Council Act, 2001,Section 5",Religious,"This section defines the powers and functions of the Nagaland Baptist Church Council, regulating its activities and administration within Nagaland. The law aims to ensure proper governance and oversight of Baptist churches in the state."
"The Manipur Places of Worship (Special Provisions) Act, 1997,Section 4",Religious,"This section provides special provisions for the protection of places of worship in Manipur, ensuring their preservation and safeguarding them from encroachment or damage. The law aims to maintain religious harmony and protect cultural heritage."
"The Tripura Christian Marriage Act, 1938,Section 3",Religious,"This section mandates the registration of Christian marriages in Tripura, ensuring their legal recognition and record-keeping. The law aims to provide legal certainty to marriages conducted under Christian customs and facilitate access to legal benefits."
"The Andhra Pradesh Endowments and Escheats (Amendment) Act, 2014,Section 6",Religious,"This section amends the provisions related to escheats (unclaimed properties) under the Andhra Pradesh Endowments Act, ensuring proper management and utilization of such properties by endowment institutions in the state. It aims to prevent misuse and ensure transparency in handling endowment assets."
"The Goa, Daman and Diu Vagrant Act, 1970,Section 3",Religious,"This section deals with the identification, rehabilitation, and management of vagrants in Goa, Daman, and Diu. It aims to address issues related to homelessness and provide support to vulnerable individuals within the union territory."
"The Puducherry Places of Public Worship (Special Provisions) Act, 2005,Section 4",Religious,"This section regulates the management and administration of places of public worship in Puducherry, ensuring their proper upkeep and management. The law aims to maintain religious harmony and preserve the sanctity of places of worship."
"The Andaman and Nicobar Islands Hindu Religious Institutions and Charitable Endowments Act, 1987,Section 5",Religious,"This section establishes a board to manage Hindu religious institutions and charitable endowments in the Andaman and Nicobar Islands. The board oversees the administration of endowment properties, ensuring their proper utilization and management."
"The Mizoram Presbyterian Church Act, 1973,Section 4",Religious,"This section governs the administration and management of Presbyterian churches in Mizoram, specifying the roles and responsibilities of church officials and ensuring proper governance within the church community."
"The Sikkim Places of Worship (Special Provisions) Act, 2008,Section 3",Religious,"This section provides for the preservation and maintenance of places of worship in Sikkim, including measures to protect their historical and cultural significance. It aims to safeguard religious sites from encroachment or damage."
"The Telangana Christian Marriage Act, 1872,Section 3",Religious,"This section mandates the registration of Christian marriages in Telangana, ensuring their legal validity and facilitating access to legal rights and benefits associated with marriage."
"The Uttarakhand Religious Freedom Act, 2008,Section 4",Religious,"This section guarantees religious freedom in Uttarakhand, ensuring that individuals have the right to practice, propagate, and profess any religion of their choice without coercion or interference."
"The West Bengal Places of Public Worship (Special Provisions) Act, 1999,Section 5",Religious,"This section regulates the management and administration of places of public worship in West Bengal, ensuring their proper upkeep, management, and preserving the sanctity of religious spaces."
"The Dadra and Nagar Haveli Places of Worship (Special Provisions) Act, 1982,Section 3",Religious,"This section provides special provisions for the preservation and protection of places of worship in Dadra and Nagar Haveli, ensuring their maintenance and safeguarding their cultural and religious significance."
Indian Penal Code 1860,Criminal,Defines various crimes and prescribes punishments for them.
Code of Criminal Procedure 1973,Criminal,Procedure for the administration of criminal law in India.
Indian Evidence Act 1872,Criminal,Sets forth the rules and legal principles for proving facts in legal proceedings.
Narcotic Drugs and Psychotropic Substances Act 1985,Criminal,Regulates the operations relating to narcotic drugs and psychotropic substances.
Protection of Children from Sexual Offences Act 2012,Criminal,Provides for the protection of children against sexual offences.
Juvenile Justice (Care and Protection of Children) Act 2015,Criminal,Provides for the care and protection of children.
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act 1989,Criminal,Prevents atrocities against Scheduled Castes and Scheduled Tribes.
Domestic Violence Act 2005,Criminal,Provides for more effective protection of the rights of women who are victims of violence of any kind occurring within the family.
Dowry Prohibition Act 1961,Criminal,Prohibits the giving or receiving of dowry.
Prevention of Corruption Act 1988,Criminal,Consolidates the law relating to the prevention of corruption and for matters connected therewith.
Indian Partnership Act 1932,Corporate,Defines and amends the law relating to partnerships.
Companies Act 2013,Corporate,"Regulates incorporation, responsibilities, directors, and dissolution of a company."
Insolvency and Bankruptcy Code 2016,Corporate,Provides a time-bound process to resolve insolvency among companies and individuals.
Limited Liability Partnership Act 2008,Corporate,Governs the registration and regulation of LLPs.
Securities and Exchange Board of India Act 1992,Corporate,Establishes SEBI to protect the interests of investors in securities.
Competition Act 2002,Corporate,Prevents practices having adverse effect on competition.
Foreign Exchange Management Act 1999,Corporate,Manages the foreign exchange market in India.
Income Tax Act 1961,Corporate,Direct tax law covering all income of individuals and corporations.
Goods and Services Tax Act 2017,Corporate,"Comprehensive indirect tax on the manufacture, sale, and consumption of goods and services."
Prevention of Money Laundering Act 2002,Corporate,Prevents money laundering and provides for confiscation of property derived from money laundering.
Indian Partnership Act 1932,Corporate,Defines and amends the law relating to partnerships.
Prevention of Sexual Harassment Act 2013,Criminal,Protects women from sexual harassment at their place of work.
Motor Vehicles Act 1988,Criminal,Provides for the regulation of motor vehicles in India.
Air (Prevention and Control of Pollution) Act 1981,Criminal,"Provides for the prevention, control, and abatement of air pollution."
Water (Prevention and Control of Pollution) Act 1974,Criminal,Provides for the prevention and control of water pollution and the maintaining or restoring of wholesomeness of water.
Wildlife Protection Act 1972,Criminal,"Provides for the protection of wild animals, birds, and plants and for matters connected therewith."
Environment Protection Act 1986,Criminal,Provides for the protection and improvement of the environment.
Protection of Human Rights Act 1993,Criminal,"Provides for the constitution of a National Human Rights Commission, State Human Rights Commissions, and Human Rights Courts."
Protection of Civil Rights Act 1955,Criminal,Provides for the punishment of the enforcement of any disability arising from 'Untouchability'.
Consumer Protection Act 1986,Corporate,Provides for the protection of the interests of consumers.
Maternity Benefit Act 1961,Corporate,Regulates the employment of women in certain establishments for certain periods before and after childbirth and provides for maternity benefit and certain other benefits.
Employees' State Insurance Act 1948,Corporate,"Provides for certain benefits to employees in case of sickness, maternity, and 'employment injury'."
Employees' Provident Funds and Miscellaneous Provisions Act 1952,Corporate,"Provides for the institution of provident funds, pension funds, and deposit-linked insurance funds for employees."
Payment of Bonus Act 1965,Corporate,Provides for the payment of bonus to persons employed in certain establishments.
Payment of Gratuity Act 1972,Corporate,"Provides for a scheme for the payment of gratuity to employees engaged in factories, mines, oilfields, plantations, ports, railway companies, shops, or other establishments."
Industrial Disputes Act 1947,Corporate,Provides for the investigation and settlement of industrial disputes.
Trade Unions Act 1926,Corporate,Provides for the registration of Trade Unions and defines the law relating to registered Trade Unions.
Minimum Wages Act 1948,Corporate,Provides for fixing minimum rates of wages in certain employments.
Equal Remuneration Act 1976,Corporate,Provides for the payment of equal remuneration to men and women workers and for the prevention of discrimination on the grounds of sex.
Factories Act 1948,Corporate,"Provides for the health, safety, welfare, and working hours of workers employed in factories."
Shops and Establishments Act,Corporate,Regulates conditions of work and employment in shops and commercial establishments.
Contract Labour (Regulation and Abolition) Act 1970,Corporate,Regulates the employment of contract labour in certain establishments and provides for its abolition in certain circumstances.
Payment of Wages Act 1936,Corporate,Regulates the payment of wages to certain classes of employed persons.
Workmen's Compensation Act 1923,Corporate,Provides for the payment by certain classes of employers to their workmen of compensation for injury by accident.
Employees' Provident Funds Act 1952,Corporate,Provides for the institution of provident funds for employees in factories and other establishments.
Maternity Benefit Act 1961,Corporate,Provides for maternity leave and benefit to women employees.
Payment of Bonus Act 1965,Corporate,Provides for the payment of bonus to employees in certain establishments.
Payment of Gratuity Act 1972,Corporate,Provides for a scheme for the payment of gratuity to employees.
Trade Unions Act 1926,Corporate,Provides for the registration of trade unions and defines their rights and liabilities.
Industrial Employment (Standing Orders) Act 1946,Corporate,Requires employers in industrial establishments to formally define conditions of employment under them.
Industrial Disputes Act 1947,Corporate,Provides for the investigation and settlement of industrial disputes.
Employment Exchanges (Compulsory Notification of Vacancies) Act 1959,Corporate,Provides for compulsory notification of vacancies to employment exchanges.
Apprentices Act 1961,Corporate,Provides for the regulation and control of training of apprentices in trades and matters connected therewith.
Factories Act 1948,Corporate,"Provides for the health, safety, welfare, and working hours of workers employed in factories."
"Dock Workers (Safety, Health and Welfare) Act 1986",Corporate,"Provides for the safety, health, and welfare of dock workers."
Inter-State Migrant Workmen (Regulation of Employment and Conditions of Service) Act 1979,Corporate,Provides for the regulation of the employment of inter-state migrant workmen.
Building and Other Construction Workers (Regulation of Employment and Conditions of Service) Act 1996,Corporate,Regulates the employment and conditions of service of building and other construction workers.
Child Labour (Prohibition and Regulation) Act 1986,Corporate,Prohibits the engagement of children in certain employments and regulates the conditions of work of children in certain other employments.
Mines Act 1952,Corporate,"Provides for the health, safety, and welfare of workers employed in mines."
Plantation Labour Act 1951,Corporate,Provides for the welfare of plantation labour and regulates the conditions of work in plantations.
Sales Promotion Employees (Conditions of Service) Act 1976,Corporate,Regulates the conditions of service of sales promotion employees in certain establishments.
Cine-Workers and Cinema Theatre Workers (Regulation of Employment) Act 1981,Corporate,Regulates the conditions of employment of cine-workers and cinema theatre workers.
Beedi and Cigar Workers (Conditions of Employment) Act 1966,Corporate,Regulates the conditions of employment of beedi and cigar workers.
Merchant Shipping Act 1958,Corporate,Regulates the conditions of employment of seamen and matters connected therewith.
Public Liability Insurance Act 1991,Corporate,Provides for public liability insurance for the purpose of providing immediate relief to the persons affected by accidents occurring while handling any hazardous substance.
Bonded Labour System (Abolition) Act 1976,Corporate,Abolishes the bonded labour system with a view to prevent the economic and physical exploitation of the weaker sections of the people.
Employment of Manual Scavengers and Construction of Dry Latrines (Prohibition) Act 1993,Corporate,Prohibits the employment of manual scavengers and construction of dry latrines.
"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act 2013",Corporate,Provides protection against sexual harassment of women at workplace and for the prevention and redressal of complaints of sexual harassment.
Maternity Benefit (Amendment) Act 2017,Corporate,Amends the Maternity Benefit Act 1961 to provide for increased maternity leave for women employees.
Motor Transport Workers Act 1961,Corporate,Provides for the welfare of motor transport workers and regulates the conditions of their work.
Payment of Wages (Amendment) Act 2017,Corporate,Amends the Payment of Wages Act 1936 to enable the payment of wages through cheque or digital means.
Maternity Benefit (Amendment) Act 2017,Corporate,Amends the Maternity Benefit Act 1961 to provide for increased maternity leave for women employees.
Motor Transport Workers Act 1961,Corporate,Provides for the welfare of motor transport workers and regulates the conditions of their work.
Payment of Wages (Amendment) Act 2017,Corporate,Amends the Payment of Wages Act 1936 to enable the payment of wages through cheque or digital means.
Insolvency and Bankruptcy Code 2016,Corporate,"Consolidates and amends the laws relating to reorganization and insolvency resolution of corporate persons, partnership firms, and individuals in a time-bound manner."
"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act 2013",Corporate,Provides protection against sexual harassment of women at workplace and for the prevention and redressal of complaints of sexual harassment.
Right to Information Act 2005,Corporate,Provides for setting out the practical regime of right to information for citizens to secure access to information under the control of public authorities.
Competition Act 2002,Corporate,"Prevents practices having an adverse effect on competition, promotes and sustains competition in markets, protects the interests of consumers, and ensures freedom of trade."
Securities and Exchange Board of India Act 1992,Corporate,"Establishes the Securities and Exchange Board of India to protect the interests of investors in securities and to promote the development of, and to regulate the securities market."
Foreign Exchange Management Act 1999,Corporate,Consolidates and amends the law relating to foreign exchange with the objective of facilitating external trade and payments and promoting the orderly development and maintenance of the foreign exchange market in India.
Prevention of Money Laundering Act 2002,Corporate,"Prevents money laundering and provides for confiscation of property derived from, or involved in, money laundering."
Information Technology Act 2000,Corporate,Provides legal recognition for transactions carried out by means of electronic data interchange and other means of electronic communication.
Indian Trusts Act 1882,Corporate,Defines and amends the law relating to private trusts and trustees.
Carriage by Air Act 1972,Corporate,Gives effect to the Convention for the Unification of Certain Rules for International Carriage by Air.
Indian Evidence Act 1872,Criminal,"Consolidates, defines, and amends the law of evidence."
Prevention of Corruption Act 1988,Criminal,Consolidates the law relating to the prevention of corruption and for matters connected therewith.
Protection of Women from Domestic Violence Act 2005,Criminal,Provides for more effective protection of the rights of women guaranteed under the Constitution who are victims of violence of any kind occurring within the family.
National Security Act 1980,Criminal,Provides for preventive detention in certain cases and for matters connected therewith.
Arms Act 1959,Criminal,Consolidates and amends the law relating to arms and ammunition.
Narcotic Drugs and Psychotropic Substances Act 1985,Criminal,"Consolidates and amends the law relating to narcotic drugs and psychotropic substances, and provides for the control and regulation of operations relating to narcotic drugs and psychotropic substances."
Juvenile Justice (Care and Protection of Children) Act 2015,Criminal,Consolidates and amends the law relating to children alleged and found to be in conflict with law and children in need of care and protection.
Immoral Traffic (Prevention) Act 1956,Criminal,"Provides in pursuance of the International Convention signed at New York on 9th May 1950, for the prevention of immoral traffic."
Scheduled Castes and Tribes (Prevention of Atrocities) Act 1989,Criminal,Prevents atrocities against the members of the Scheduled Castes and the Scheduled Tribes.
Dowry Prohibition Act 1961,Criminal,Prohibits the giving or taking of dowry.
Indecent Representation of Women (Prohibition) Act 1986,Criminal,"Prohibits indecent representation of women through advertisements or in publications, writings, paintings, figures, or in any other manner."
Transplantation of Human Organs Act 1994,Criminal,"Provides for the regulation of removal, storage, and transplantation of human organs for therapeutic purposes and for the prevention of commercial dealings in human organs."
Pre-Conception and Pre-Natal Diagnostic Techniques (Prohibition of Sex Selection) Act 1994,Criminal,Prohibits sex selection before or after conception and regulates pre-natal diagnostic techniques.
Prohibition of Child Marriage Act 2006,Criminal,Prohibits solemnization of child marriages and for matters connected therewith or incidental thereto.
Child Labour (Prohibition and Regulation) Amendment Act 2016,Criminal,Prohibits the engagement of children in all occupations and of adolescents in hazardous occupations and processes and provides for regulation of conditions of work of children.
Protection of Children from Sexual Offences Act 2012,Criminal,"Protects children from offenses of sexual assault, sexual harassment, and pornography and provides for the establishment of Special Courts for trial of such offenses."
